text_cleaned,Label,label_encoded
"transcript request for a 100-level student dear registrar's office, i am writing to formally request my official transcript. the specific requirement is for 'transcript request for a 100-level student'. the purpose for this request is: internal academic verification. please advise on the exact procedure and fee structure.",Transcript Requests,9
"transcript request with certified sealed envelope dear registrar's office, i am writing to formally request my official transcript. the specific requirement is for 'transcript request with certified sealed envelope'. the purpose for this request is: international application. please advise on the exact procedure and fee structure.",Transcript Requests,9
"transcript request for a graduating student dear registrar's office, i am writing to formally request my official transcript. the specific requirement is for 'transcript request for a graduating student'. the purpose for this request is: graduation requirements. please advise on the exact procedure and fee structure.",Transcript Requests,9
"transcript request for transfer to another university dear registrar's office, i am writing to formally request my official transcript. the specific requirement is for 'transcript request for transfer to another university'. the purpose for this request is: academic transfer. please advise on the exact procedure and fee structure.",Transcript Requests,9
"transcript request for a withdrawn student dear registrar's office, i am writing to formally request my official transcript. the specific requirement is for 'transcript request for a withdrawn student'. the purpose for this request is: record closure. please advise on the exact procedure and fee structure.",Transcript Requests,9
"transcript request for a postgraduate student dear registrar's office, i am writing to formally request my official transcript. the specific requirement is for 'transcript request for a postgraduate (msc) student'. the purpose for this request is: phd application. please advise on the exact procedure and fee structure.",Transcript Requests,9
"transcript request dear registrar's office, i am writing to formally request my official transcript. the specific requirement is for 'transcript request (expedited/urgent)'. the purpose for this request is: time-sensitive application. please advise on the exact procedure and fee structure.",Transcript Requests,9
"transcript request dear registrar's office, i am writing to formally request my official transcript. the specific requirement is for 'transcript request (digital copy only)'. the purpose for this request is: electronic submission. please advise on the exact procedure and fee structure.",Transcript Requests,9
"transcript request for a student on academic probation dear registrar's office, i am writing to formally request my official transcript. the specific requirement is for 'transcript request for a student on academic probation'. the purpose for this request is: status review. please advise on the exact procedure and fee structure.",Transcript Requests,9
application for student visa support letter i am reaching out regarding a new application/inquiry. the request is for: 'application for student visa (f-1) support letter'. this is related to the goal of study abroad. could you please guide me on the relevant application process and documentation required?,Admission Inquiry,0
application for re-entry visa support letter i am reaching out regarding a new application/inquiry. the request is for: 'application for re-entry visa support letter'. this is related to the goal of current student return. could you please guide me on the relevant application process and documentation required?,Admission Inquiry,0
application for tourist visa support letter i am reaching out regarding a new application/inquiry. the request is for: 'application for tourist visa support letter'. this is related to the goal of short-term visit/conference. could you please guide me on the relevant application process and documentation required?,Admission Inquiry,0
application for schengen visa i am reaching out regarding a new application/inquiry. the request is for: 'application for schengen visa (academic conference)'. this is related to the goal of european travel. could you please guide me on the relevant application process and documentation required?,Admission Inquiry,0
application for work permit/visa support i am reaching out regarding a new application/inquiry. the request is for: 'application for work permit/visa support (staff)'. this is related to the goal of staff exchange. could you please guide me on the relevant application process and documentation required?,Admission Inquiry,0
